year,data,Id,subject,scale,grade
1,3,2008017,English,GCSE,B
1,3,2008022,English,GCSE,B
1,3,2008026,English,GCSE,B
1,3,2008027,English,GCSE,B
1,3,2008032,English,GCSE,B
1,3,2008035,English,GCSE,B
1,3,2008037,English,GCSE,B
1,3,2008046,English,GCSE,B
1,3,2008047,English,GCSE,B
1,3,2008051,English,GCSE,B
1,3,2008053,English,GCSE,B
1,3,2008054,English,GCSE,B
1,3,2008060,English,GCSE,B
1,3,2008064,English,GCSE,B
1,3,2008065,English,GCSE,B
1,3,2008067,English,GCSE,B
1,3,2008068,English,GCSE,B
1,3,2008069,English,GCSE,B
1,3,2008078,English,GCSE,B
1,3,2008088,English,GCSE,B
1,3,2008097,English,GCSE,B
1,3,2008099,English,GCSE,B
1,3,2008104,English,GCSE,B
1,3,2008107,English,GCSE,B
1,3,2008108,English,GCSE,B
1,3,2008111,English,GCSE,B
1,3,2008113,English,GCSE,B
1,3,2008116,English,GCSE,B
1,3,2008121,English,GCSE,B
1,3,2008127,English,GCSE,B
1,3,2008129,English,GCSE,B
1,3,2008133,English,GCSE,B
1,3,2008137,English,GCSE,B
1,3,2008142,English,GCSE,B
1,3,2008148,English,GCSE,B
1,3,2008152,English,GCSE,B
1,3,2008155,English,GCSE,B
1,3,2008158,English,GCSE,B
1,3,2008159,English,GCSE,B
1,3,2008161,English,GCSE,B
1,3,2008166,English,GCSE,B
1,3,2008171,English,GCSE,B
1,3,2008183,English,GCSE,B
1,3,2008184,English,GCSE,B
1,3,2008194,English,GCSE,B
1,3,2008196,English,GCSE,B
1,3,2008205,English,GCSE,B
1,3,2008209,English,GCSE,B
1,3,2008214,English,GCSE,B
1,3,2008223,English,GCSE,B
1,3,2008226,English,GCSE,B
1,3,2008231,English,GCSE,B
1,3,3701,English,GCSE,B
1,3,2008006,English,GCSE,C
1,3,2008007,English,GCSE,C
1,3,2008013,English,GCSE,C
1,3,2008016,English,GCSE,C
1,3,2008019,English,GCSE,C
1,3,2008023,English,GCSE,C
1,3,2008024,English,GCSE,C
1,3,2008030,English,GCSE,C
1,3,2008033,English,GCSE,C
1,3,2008039,English,GCSE,C
1,3,2008041,English,GCSE,C
1,3,2008043,English,GCSE,C
1,3,2008044,English,GCSE,C
1,3,2008059,English,GCSE,C
1,3,2008061,English,GCSE,C
1,3,2008062,English,GCSE,C
1,3,2008074,English,GCSE,C
1,3,2008076,English,GCSE,C
1,3,2008079,English,GCSE,C
1,3,2008080,English,GCSE,C
1,3,2008082,English,GCSE,C
1,3,2008086,English,GCSE,C
1,3,2008090,English,GCSE,C
1,3,2008091,English,GCSE,C
1,3,2008098,English,GCSE,C
1,3,2008102,English,GCSE,C
1,3,2008103,English,GCSE,C
1,3,2008120,English,GCSE,C
1,3,2008123,English,GCSE,C
1,3,2008125,English,GCSE,C
1,3,2008126,English,GCSE,C
1,3,2008128,English,GCSE,C
1,3,2008147,English,GCSE,C
1,3,2008149,English,GCSE,C
1,3,2008150,English,GCSE,C
1,3,2008154,English,GCSE,C
1,3,2008156,English,GCSE,C
1,3,2008160,English,GCSE,C
1,3,2008162,English,GCSE,C
1,3,2008164,English,GCSE,C
1,3,2008167,English,GCSE,C
1,3,2008169,English,GCSE,C
1,3,2008173,English,GCSE,C
1,3,2008175,English,GCSE,C
1,3,2008176,English,GCSE,C
1,3,2008179,English,GCSE,C
1,3,2008182,English,GCSE,C
1,3,2008186,English,GCSE,C
1,3,2008187,English,GCSE,C
1,3,2008188,English,GCSE,C
1,3,2008193,English,GCSE,C
1,3,2008199,English,GCSE,C
1,3,2008203,English,GCSE,C
1,3,2008204,English,GCSE,C
1,3,2008208,English,GCSE,C
1,3,2008211,English,GCSE,C
1,3,2008212,English,GCSE,C
1,3,2008215,English,GCSE,C
1,3,2008216,English,GCSE,C
1,3,2008217,English,GCSE,C
1,3,2008218,English,GCSE,C
1,3,2008221,English,GCSE,C
1,3,2008222,English,GCSE,C
1,3,2008229,English,GCSE,C
1,3,3642,English,GCSE,C
1,3,3700,English,GCSE,C
1,3,3707,English,GCSE,C
1,3,3710,English,GCSE,C
1,3,3714,English,GCSE,C
1,3,2008003,English,GCSE,D
1,3,2008009,English,GCSE,D
1,3,2008011,English,GCSE,D
1,3,2008031,English,GCSE,D
1,3,2008040,English,GCSE,D
1,3,2008070,English,GCSE,D
1,3,2008081,English,GCSE,D
1,3,2008083,English,GCSE,D
1,3,2008084,English,GCSE,D
1,3,2008092,English,GCSE,D
1,3,2008095,English,GCSE,D
1,3,2008106,English,GCSE,D
1,3,2008109,English,GCSE,D
1,3,2008117,English,GCSE,D
1,3,2008130,English,GCSE,D
1,3,2008131,English,GCSE,D
1,3,2008138,English,GCSE,D
1,3,2008143,English,GCSE,D
1,3,2008153,English,GCSE,D
1,3,2008165,English,GCSE,D
1,3,2008170,English,GCSE,D
1,3,2008174,English,GCSE,D
